"1000","Apple","4","133"
"1001","Apricot","5","175"
"1002","Avocado","5","182"
"1003","Banana","5","187"
"1005","Blackberry","4","178"
"1006","Blackcurrant","5","102"
"1007","Blueberry","6","156"
"1009","Cherry","5","182"
"1011","Clementine","3","165"
"1007","Cranberry","6","156"
"1012","Date","6","112"
"1014","Dragon fruit","6","112"
"1013","Damson","1","164"
"1014","Durian","2","157"
"1015","Eggplant","6","189"
"1016","Pomelo","3","189"
"1017","Feijoa","2","198"
"1018","Gooseberry","2","141"
"1019","Grape","2","101"
"1020","Grapefruit","5","199"
"1021","Guava","1","160"
"1022","Huckleberry","6","197"
"1023","Jackfruit","6","181"
"1024","Jambul","6","117"
"1025","Kiwi","1","123"
"1026","Kumquat","2","198"
"1027","Legume","6","199"
"1028","Lemon","3","120"
"1029","Lime","3","165"
"1030","Lychee","6","120"
"1030","Longan","6","120"
"1031","Mango","6","131"
"1033","Melon","4","159"
"1034","Cantaloupe","4","138"
"1034","Passion fruit","4","138"
"1035","Honeydew melon","4","155"
"1036","Watermelon","5","176"
"1037","Rock melon","2","180"
"1038","Nectarine","1","128"
"1039","Orange","6","142"
"1040","Peach","6","179"
"1041","Pear","3","102"
"1041","Papaya","3","102"
"1045","Plum","4","103"
"1046","Pineapple","3","120"
"1047","Pomegranate","5","112"
"1048","Raisin","4","111"
"1049","Raspberry","5","156"
"1051","Rambutan","6","145"
"1055","Star fruit","4","142"
"1055","Soursop","4","142"
"1056","Strawberry","6","178"
"1057","Tangerine","4","119"
"1058","Tomato","6","167"
"1060","Watermelon","6","149"
